X,Y,OBJECTID,POSTCODE,NO_OF_PROPERTIES,NO_OF_HA_PROPERTIES,F__HA_OF_POSTCODE_TOTAL,NO_OF_OTHER_PROPERTIES,F__OTHER_OF_POSTCODE_TOTAL,ADDRESS,LATITUDE,LONGITUDE,EASTING,NORTHING,CONSTITUENCY,WARD,LSOA,REGION,LSOA_CODE,ROW_NUMBER
-4.32404299974649,55.8739349997819,1,G11 7AX,2,0,0,2,1,G11 7AX,55.873935,-4.324043,254692,666972,Glasgow North West,Victoria Park,Broomhill - 01,,S01010415,402
-4.3005780002088,55.8737440001303,2,G11 5HA,22,0,0,22,1,G11 5HA,55.873744,-4.300578,256159,666902,Glasgow North,Partick East/Kelvindale,Kelvingrove and University - 07,,S01010380,202
-4.31452200039187,55.8679009999621,3,G11 6BQ,44,0,0,44,1,G11 6BQ,55.867901,-4.314522,255265,666281,Glasgow North West,Victoria Park,Glasgow Harbour and Partick South - 05,,S01010392,302
-4.32477300039079,55.8786720000338,4,G11 7AZ,22,0,0,22,1,G11 7AZ,55.878672,-4.324773,254664,667501,Glasgow North West,Victoria Park,Broomhill - 03,,S01010417,403
-4.3000059997483,55.8735300001805,5,G11 5HB,9,0,0,9,1,G11 5HB,55.87353,-4.300006,256194,666877,Glasgow North,Partick East/Kelvindale,Kelvingrove and University - 07,,S01010380,203
-4.32057700024139,55.8761449998659,6,G11 7BE,17,0,0,17,1,G11 7BE,55.876145,-4.320577,254917,667211,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,404
-4.32392599957063,55.8717080000661,7,G11 7BF,68,0,0,68,1,G11 7BF,55.871708,-4.323926,254691,666724,Glasgow North West,Victoria Park,Broomhill - 01,,S01010415,405
-4.30074800008812,55.8731019997666,8,G11 5HD,51,0,0,51,1,G11 5HD,55.873102,-4.300748,256146,666831,Glasgow North,Partick East/Kelvindale,Kelvingrove and University - 07,,S01010380,204
-4.32100900006152,55.8764250001473,9,G11 7BG,24,0,0,24,1,G11 7BG,55.876425,-4.321009,254891,667243,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,406
-4.29974100033273,55.8728010002321,10,G11 5HE,27,0,0,27,1,G11 5HE,55.872801,-4.299741,256208,666795,Glasgow North,Partick East/Kelvindale,Hillhead - 02,,S01010382,205
-4.32305600008259,55.8764310000161,11,G11 7BH,23,0,0,23,1,G11 7BH,55.876431,-4.323056,254763,667248,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,407
-4.29936399986586,55.8729389997793,12,G11 5HF,31,0,0,31,1,G11 5HF,55.872939,-4.299364,256232,666810,Glasgow North,Partick East/Kelvindale,Kelvingrove and University - 07,,S01010380,206
-4.3222829997806,55.8766160002175,13,G11 7BJ,24,0,0,24,1,G11 7BJ,55.876616,-4.322283,254812,667267,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,408
-4.29808799959865,55.873251000081,14,G11 5HG,16,0,0,16,1,G11 5HG,55.873251,-4.298088,256313,666842,Glasgow North,Partick East/Kelvindale,Kelvingrove and University - 07,,S01010380,207
-4.32506799994358,55.8758539999964,15,G11 7BL,3,0,0,3,1,G11 7BL,55.875854,-4.325068,254635,667188,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,409
-4.2977529998629,55.8727359998957,16,G11 5HH,50,0,0,50,1,G11 5HH,55.872736,-4.297753,256332,666784,Glasgow North,Partick East/Kelvindale,Hillhead - 04,,S01010384,208
-4.32542600014385,55.8762329998263,17,G11 7BP,35,17,0,18,1,G11 7BP,55.876233,-4.325426,254614,667231,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,410
-4.29887799961904,55.872561999871,18,G11 5HJ,42,20,0,22,1,G11 5HJ,55.872562,-4.298878,256261,666767,Glasgow North,Partick East/Kelvindale,Kelvingrove and University - 07,,S01010380,209
-4.29850600007338,55.8721859997499,19,G11 5HL,17,10,1,7,0,G11 5HL,55.872186,-4.298506,256283,666724,Glasgow North,Partick East/Kelvindale,Hillhead - 03,,S01010383,210
-4.32151299985168,55.8768369998993,20,G11 7BQ,36,0,0,36,1,G11 7BQ,55.876837,-4.321513,254861,667290,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,411
-4.2979169998944,55.8719870001641,21,G11 5HN,12,3,0,9,1,G11 5HN,55.871987,-4.297917,256319,666701,Glasgow North,Partick East/Kelvindale,Hillhead - 04,,S01010384,211
-4.32356200042089,55.8768799998257,22,G11 7BS,20,0,0,20,1,G11 7BS,55.87688,-4.323562,254733,667299,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,412
-4.29737100027148,55.8730310000448,23,G11 5HQ,55,5,0,50,1,G11 5HQ,55.873031,-4.297371,256357,666816,Glasgow North,Partick East/Kelvindale,Hillhead - 04,,S01010384,212
-4.3227470002861,55.8771470000373,24,G11 7BT,20,0,0,20,1,G11 7BT,55.877147,-4.322747,254785,667327,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,413
-4.3048289997115,55.8718300001081,25,G11 5HR,47,0,0,47,1,G11 5HR,55.87183,-4.304829,255886,666698,Glasgow North,Partick East/Kelvindale,Hillhead - 05,,S01010385,213
-4.29725699957033,55.8724479999186,26,G11 5HW,12,0,0,12,1,G11 5HW,55.872448,-4.297257,256362,666751,Glasgow North,Partick East/Kelvindale,Hillhead - 04,,S01010384,214
-4.32204699977904,55.8772140001287,27,G11 7BU,10,0,0,10,1,G11 7BU,55.877214,-4.322047,254829,667333,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,414
-4.32582700000184,55.8757130002365,28,G11 7BW,13,0,0,13,1,G11 7BW,55.875713,-4.325827,254587,667174,Glasgow North West,Victoria Park,Broomhill - 04,,S01010418,415
-4.29689500007041,55.8736329997666,29,G11 5JA,64,0,0,64,1,G11 5JA,55.873633,-4.296895,256389,666882,Glasgow North,Partick East/Kelvindale,Kelvingrove and University - 01,,S01010374,215
