type,latitude,longitude
T,58.63734,-3.06894
T,58.63854,-3.06889
T,58.64292,-3.08355
T,58.64294,-3.08394
T,58.64281,-3.08576
T,58.64245,-3.08773
T,58.64148,-3.10049
T,58.64156,-3.10139
T,58.64313,-3.10695
T,58.64319,-3.10737
T,58.64319,-3.1078
T,58.64301,-3.10853
T,58.63893,-3.11558
T,58.63863,-3.11637
T,58.6384,-3.11623
T,58.63492,-3.11903
T,58.63469,-3.11936
T,58.63384,-3.12148
T,58.63357,-3.12187
T,58.63241,-3.12307
T,58.62657,-3.13322
T,58.62644,-3.13353
T,58.62752,-3.1353
T,58.6279,-3.13606
T,58.62828,-3.13723
T,58.62886,-3.14042
T,58.62927,-3.14413
T,58.62928,-3.14889
T,58.63207,-3.18306
T,58.63253,-3.18558
T,58.63609,-3.19751
T,58.63676,-3.20308
T,58.63678,-3.20384
T,58.63622,-3.20839
T,58.63431,-3.21809
T,58.62062,-3.27263
T,58.62041,-3.27319
T,58.61991,-3.27403
T,58.6195,-3.27458
T,58.61848,-3.27554
T,58.618,-3.2759
T,58.61704,-3.27633
T,58.61648,-3.27646
T,58.61484,-3.2765
T,58.61432,-3.27679
T,58.61409,-3.27705
T,58.59065,-3.31667
T,58.59117,-3.31792
T,58.58935,-3.34203
T,58.58956,-3.34998
T,58.58949,-3.35019
T,58.58762,-3.35334
T,58.58718,-3.35435
T,58.58922,-3.35988
T,58.58936,-3.36011
T,58.58944,-3.36016
T,58.58953,-3.36016
T,58.59151,-3.36067
T,58.59161,-3.36072
T,58.59175,-3.36092
T,58.59188,-3.36133
T,58.5934,-3.3698
T,58.59309,-3.3715
T,58.59302,-3.37224
T,58.59306,-3.37296
T,58.59323,-3.37375
T,58.59376,-3.37538
T,58.59382,-3.3758
T,58.5938,-3.37619
T,58.59376,-3.37636
T,58.59278,-3.37855
T,58.59271,-3.37881
T,58.59266,-3.38024
T,58.59257,-3.38089
T,58.59232,-3.38153
T,58.59085,-3.38344
T,58.59077,-3.38362
T,58.59075,-3.38387
T,58.59309,-3.39158
T,58.59136,-3.39334
T,58.59123,-3.39353
T,58.59111,-3.39398
T,58.59082,-3.39467
T,58.59075,-3.39511
T,58.59078,-3.39537
T,58.59092,-3.39587
T,58.59125,-3.39665
T,58.59125,-3.39695
T,58.58371,-3.414
T,58.58299,-3.41958
T,58.58157,-3.42398
T,58.5798,-3.43115
T,58.57967,-3.43149
T,58.57895,-3.4328
T,58.57877,-3.43297
T,58.57833,-3.43316
T,58.57819,-3.43328
T,58.57783,-3.43375
T,58.57761,-3.43384
T,58.57738,-3.43383
T,58.57711,-3.43376
T,58.57698,-3.43376
T,58.57679,-3.43384
T,58.57679,-3.43385
T,58.57535,-3.43548
T,58.57421,-3.43879
T,58.5742,-3.43919
T,58.57441,-3.44046
T,58.57435,-3.44189
T,58.57473,-3.44502
T,58.57477,-3.44667
T,58.5747,-3.44698
T,58.57404,-3.44864
T,58.57348,-3.45112
T,58.5733,-3.45152
T,58.57315,-3.45167
T,58.57224,-3.45222
T,58.57051,-3.45422
T,58.58419,-3.48386
T,58.58648,-3.49326
T,58.59298,-3.51266
T,58.59212,-3.51444
T,58.592,-3.51481
T,58.59162,-3.51734
T,58.59351,-3.52201
T,58.59339,-3.52217
T,58.59372,-3.52298
T,58.59085,-3.52706
T,58.59031,-3.52875
T,58.58791,-3.53286
T,58.58587,-3.53577
T,58.583,-3.53816
T,58.58183,-3.5389
T,58.58149,-3.53921
T,58.57942,-3.54177
T,58.57668,-3.54636
T,58.57647,-3.5468
