Index,Lat_Start,Lon_Start,Number
1,58.63734,-3.06894,1
2,58.63854,-3.06889,2
3,58.64292,-3.08355,3
4,58.64294,-3.08394,4
5,58.64281,-3.08576,5
6,58.64245,-3.08773,1
7,58.64148,-3.10049,2
8,58.64156,-3.10139,3
9,58.64313,-3.10695,4
11,58.64319,-3.1078,5
12,58.64301,-3.10853,1
13,58.63893,-3.11558,2
14,58.63863,-3.11637,3
15,58.6384,-3.11623,4
16,58.63492,-3.11903,5
17,58.63469,-3.11936,1
18,58.63384,-3.12148,2
19,58.63357,-3.12187,3
20,58.63241,-3.12307,4
21,58.62657,-3.13322,5
22,58.62644,-3.13353,1
23,58.62752,-3.1353,2
24,58.6279,-3.13606,3
25,58.62828,-3.13723,4
26,58.62886,-3.14042,5
27,58.62927,-3.14413,1
28,58.62928,-3.14889,2
29,58.63207,-3.18306,3
30,58.63253,-3.18558,4
31,58.63609,-3.19751,5
32,58.63676,-3.20308,1
33,58.63678,-3.20384,2
34,58.63622,-3.20839,3
35,58.63431,-3.21809,4
36,58.62062,-3.27263,5
37,58.62041,-3.27319,1
38,58.61991,-3.27403,2
39,58.6195,-3.27458,3
40,58.61848,-3.27554,4
41,58.618,-3.2759,5
42,58.61704,-3.27633,1
43,58.61648,-3.27646,2
44,58.61484,-3.2765,3
45,58.61432,-3.27679,4
46,58.61409,-3.27705,5
47,58.59065,-3.31667,1
48,58.59117,-3.31792,2
49,58.58935,-3.34203,3
50,58.58956,-3.34998,4
51,58.58949,-3.35019,5
52,58.58762,-3.35334,1
53,58.58718,-3.35435,2
54,58.58922,-3.35988,3
55,58.58936,-3.36011,4
56,58.58944,-3.36016,5
57,58.58953,-3.36016,1
58,58.59151,-3.36067,2
59,58.59161,-3.36072,3
60,58.59175,-3.36092,4
61,58.59188,-3.36133,5
62,58.5934,-3.3698,1
63,58.59309,-3.3715,2
64,58.59302,-3.37224,3
65,58.59306,-3.37296,4
66,58.59323,-3.37375,5
67,58.59376,-3.37538,1
68,58.59382,-3.3758,2
69,58.5938,-3.37619,3
70,58.59376,-3.37636,4
71,58.59278,-3.37855,5
72,58.59271,-3.37881,1
73,58.59266,-3.38024,2
74,58.59257,-3.38089,3
75,58.59232,-3.38153,4
76,58.59085,-3.38344,5
77,58.59077,-3.38362,1
78,58.59075,-3.38387,2
79,58.59309,-3.39158,3
80,58.59136,-3.39334,4
81,58.59123,-3.39353,5
82,58.59111,-3.39398,1
83,58.59082,-3.39467,2
84,58.59075,-3.39511,3
85,58.59078,-3.39537,4
86,58.59092,-3.39587,5
88,58.59125,-3.39695,1
89,58.58371,-3.414,2
90,58.58299,-3.41958,3
91,58.58157,-3.42398,4
92,58.5798,-3.43115,5
93,58.57967,-3.43149,1
94,58.57895,-3.4328,2
95,58.57877,-3.43297,3
96,58.57833,-3.43316,4
97,58.57819,-3.43328,5
98,58.57783,-3.43375,1
99,58.57761,-3.43384,2
100,58.57738,-3.43383,3
101,58.57711,-3.43376,4
102,58.57698,-3.43376,5
104,58.57679,-3.43385,1
105,58.57535,-3.43548,2
106,58.57421,-3.43879,3
107,58.5742,-3.43919,4
108,58.57441,-3.44046,5
109,58.57435,-3.44189,1
110,58.57473,-3.44502,2
111,58.57477,-3.44667,3
112,58.5747,-3.44698,4
113,58.57404,-3.44864,5
114,58.57348,-3.45112,1
115,58.5733,-3.45152,2
116,58.57315,-3.45167,3
117,58.57224,-3.45222,4
118,58.57051,-3.45422,5
119,58.58419,-3.48386,1
120,58.58648,-3.49326,2
121,58.59298,-3.51266,3
122,58.59212,-3.51444,4
123,58.592,-3.51481,5
124,58.59162,-3.51734,1
125,58.59351,-3.52201,2
126,58.59339,-3.52217,3
127,58.59372,-3.52298,4
128,58.59085,-3.52706,5
129,58.59031,-3.52875,1
130,58.58791,-3.53286,2
131,58.58587,-3.53577,3
132,58.583,-3.53816,4
133,58.58183,-3.5389,5
134,58.58149,-3.53921,1
135,58.57942,-3.54177,2
136,58.57668,-3.54636,3
137,58.57647,-3.5468,4
138,58.57611,-3.54782,5
139,58.57319,-3.55951,1
140,58.56915,-3.57142,2
141,58.56892,-3.57188,3
142,58.56481,-3.5768,4
143,58.56441,-3.5775,5
144,58.56382,-3.57913,1
145,58.56054,-3.60421,2
146,58.56011,-3.60588,3
147,58.55979,-3.60674,4
148,58.55558,-3.61469,5
149,58.55522,-3.61566,1
150,58.55514,-3.61611,2
151,58.5551,-3.61738,3
152,58.5554,-3.62146,4
153,58.55578,-3.62361,5
154,58.5558,-3.624,1
155,58.55573,-3.62437,2
156,58.55561,-3.6246,3
157,58.5548,-3.62555,4
158,58.55451,-3.62579,5
159,58.55426,-3.62591,1
160,58.55413,-3.62594,2
161,58.55379,-3.62595,3
162,58.5528,-3.62578,4
163,58.55264,-3.62583,5
164,58.55239,-3.62597,1
165,58.55202,-3.62636,2
166,58.55185,-3.62667,3
167,58.55163,-3.62754,4
168,58.5519,-3.63694,5
169,58.55231,-3.64015,1
170,58.5552,-3.65246,2
171,58.55546,-3.65454,3
172,58.55557,-3.65722,4
173,58.55536,-3.66001,5
174,58.5532,-3.67559,1
175,58.55216,-3.69337,2
176,58.55264,-3.69934,3
177,58.55281,-3.70405,4
178,58.55328,-3.70639,5
179,58.55346,-3.70694,1
180,58.55457,-3.70897,2
181,58.55502,-3.71012,3
182,58.55997,-3.73362,4
183,58.56074,-3.75192,5
184,58.56148,-3.76076,1
185,58.56103,-3.76118,2
186,58.56089,-3.76151,3
187,58.56095,-3.7663,4
188,58.56064,-3.76979,5
189,58.56028,-3.77145,1
190,58.56009,-3.77198,2
191,58.55962,-3.77294,3
192,58.55909,-3.77429,4
193,58.55894,-3.7757,5
194,58.55895,-3.77636,1
195,58.55918,-3.77845,2
196,58.55904,-3.78259,3
197,58.55733,-3.79277,4
198,58.55688,-3.79407,5
199,58.55675,-3.79461,1
200,58.55646,-3.79845,2
201,58.55691,-3.80961,3
202,58.55685,-3.8102,4
203,58.55641,-3.81209,5
204,58.55632,-3.81286,1
205,58.55641,-3.8171,2
206,58.55513,-3.8282,3
207,58.55454,-3.83164,4
208,58.55451,-3.83244,5
209,58.5546,-3.83435,1
210,58.55482,-3.83515,2
211,58.55515,-3.8357,3
212,58.55538,-3.83591,4
213,58.55576,-3.83615,5
214,58.55618,-3.83665,1
215,58.55637,-3.83703,2
216,58.55659,-3.83776,3
217,58.55666,-3.83846,4
218,58.55663,-3.8392,5
219,58.55584,-3.84378,1
220,58.55456,-3.84797,2
221,58.55439,-3.84877,3
222,58.55427,-3.85027,4
223,58.55434,-3.85115,5
224,58.5547,-3.85333,1
225,58.55492,-3.85748,2
226,58.55461,-3.86239,3
227,58.5547,-3.86742,4
228,58.5545,-3.86861,5
229,58.55435,-3.86902,1
230,58.55329,-3.87084,2
231,58.55313,-3.87141,3
232,58.55302,-3.87221,4
233,58.55305,-3.8732,5
234,58.55296,-3.87397,1
235,58.55197,-3.87707,2
236,58.55178,-3.87835,3
237,58.55192,-3.88056,4
238,58.55183,-3.88335,5
239,58.55139,-3.88617,1
240,58.55123,-3.88669,2
241,58.55086,-3.88753,3
242,58.55075,-3.88768,4
243,58.55035,-3.88805,5
244,58.5488,-3.8891,1
245,58.54804,-3.88983,2
246,58.54803,-3.88983,3
247,58.54731,-3.89054,4
248,58.54694,-3.8908,5
249,58.54554,-3.89153,1
250,58.54478,-3.89208,2
251,58.54452,-3.89233,3
252,58.54373,-3.8933,4
253,58.54332,-3.89396,5
254,58.54272,-3.8953,1
255,58.54221,-3.89719,2
256,58.54196,-3.89947,3
257,58.542,-3.90121,4
258,58.54214,-3.90244,5
259,58.54233,-3.90337,1
260,58.54284,-3.90509,2
261,58.54334,-3.9062,3
262,58.5436,-3.9066,4
263,58.54424,-3.90735,5
265,58.54464,-3.90771,1
266,58.5485,-3.91058,2
