Index,Lat_Start,Lon_Start,Elevation,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,PointSize
1,58.64384,-3.06982,9,58.64372,-3.07004,1.023528094,-0.053578466,1.023526,-0.053582306,0.018441411,0.018441411,1
2,58.64372,-3.07004,9,58.64356,-3.06873,1.023526,-0.053582306,1.023523207,-0.053559442,0.077858289,0.0962997,1
3,58.64356,-3.06873,9,58.63077,-3.07019,1.023523207,-0.053559442,1.023299979,-0.053584924,1.424690809,1.520990509,1
4,58.63077,-3.07019,46,58.62659,-3.08442,1.023299979,-0.053584924,1.023227025,-0.053833285,0.94580537,2.466795879,1
5,58.62659,-3.08442,67,58.62442,-3.08621,1.023227025,-0.053833285,1.023189151,-0.053864526,0.262603424,2.729399303,1
6,58.62442,-3.08621,73,58.61794,-3.08334,1.023189151,-0.053864526,1.023076054,-0.053814435,0.739455522,3.468854825,1
7,58.61794,-3.08334,90,58.61173,-3.07835,1.023076054,-0.053814435,1.022967669,-0.053727343,0.748545254,4.217400079,1
8,58.61173,-3.07835,95,58.60987,-3.07856,1.022967669,-0.053727343,1.022935206,-0.053731008,0.207179861,4.42457994,1
9,58.60987,-3.07856,91,58.6044,-3.08857,1.022935206,-0.053731008,1.022839736,-0.053905716,0.84030723,5.264887169,1
10,58.6044,-3.08857,52,58.5942,-3.08668,1.022839736,-0.053905716,1.022661713,-0.053872729,1.139461508,6.404348677,1
11,58.5942,-3.08668,18,58.58757,-3.0839,1.022661713,-0.053872729,1.022545997,-0.053824209,0.754618583,7.15896726,1
12,58.58757,-3.0839,23,58.58095,-3.07662,1.022545997,-0.053824209,1.022430456,-0.053697149,0.848467729,8.007434989,1
13,58.58095,-3.07662,37,58.57389,-3.07224,1.022430456,-0.053697149,1.022307236,-0.053620703,0.825077984,8.832512972,1
14,58.57389,-3.07224,57,58.57165,-3.07543,1.022307236,-0.053620703,1.022268141,-0.053676379,0.310236135,9.142749107,1
15,58.57165,-3.07543,53,58.55831,-3.08639,1.022268141,-0.053676379,1.022035314,-0.053867668,1.613775353,10.75652446,1
16,58.55831,-3.08639,34,58.5486,-3.09184,1.022035314,-0.053867668,1.021865842,-0.053962788,1.125039601,11.88156406,1
17,58.5486,-3.09184,42,58.54697,-3.09217,1.021865842,-0.053962788,1.021837394,-0.053968548,0.182256215,12.06382028,1
18,58.54697,-3.09217,42,58.54249,-3.10801,1.021837394,-0.053968548,1.021759203,-0.054245008,1.045435516,13.10925579,1
19,58.54249,-3.10801,31,58.51511,-3.14509,1.021759203,-0.054245008,1.021281332,-0.054892176,3.728613335,16.83786913,1
20,58.51511,-3.14509,6,58.50981,-3.15141,1.021281332,-0.054892176,1.021188829,-0.055002481,0.694293911,17.53216304,1
21,58.50981,-3.15141,4,58.48233,-3.14083,1.021188829,-0.055002481,1.020709213,-0.054817825,3.116864218,20.64902726,1
22,58.48233,-3.14083,38,58.4803,-3.14117,1.020709213,-0.054817825,1.020673783,-0.054823759,0.226589297,20.87561655,1
23,58.4803,-3.14117,41,58.46999,-3.12872,1.020673783,-0.054823759,1.020493839,-0.054606465,1.355814302,22.23143086,1
24,58.46999,-3.12872,28,58.44827,-3.09471,1.020493839,-0.054606465,1.020114754,-0.054012879,3.121930864,25.35336172,1
25,58.44827,-3.09471,26,58.44472,-3.09588,1.020114754,-0.054012879,1.020052794,-0.054033299,0.400569677,25.7539314,1
26,58.44472,-3.09588,13,58.44267,-3.092,1.020052794,-0.054033299,1.020017015,-0.05396558,0.320843331,26.07477473,1
27,58.44267,-3.092,11,58.44133,-3.09428,1.020017015,-0.05396558,1.019993628,-0.054005374,0.19951601,26.27429074,1
28,58.44133,-3.09428,9,58.44127,-3.09425,1.019993628,-0.054005374,1.019992581,-0.05400485,0.006897035,26.28118777,1
29,58.44127,-3.09425,10,58.44124,-3.09428,1.019992581,-0.05400485,1.019992057,-0.054005374,0.003766432,26.2849542,1
30,58.44124,-3.09428,10,58.44116,-3.09441,1.019992057,-0.054005374,1.019990661,-0.054007643,0.011678199,26.2966324,1
31,58.44116,-3.09441,11,58.43089,-3.09565,1.019990661,-0.054007643,1.019811415,-0.054029285,1.144250379,27.44088278,1
32,58.43089,-3.09565,25,58.42422,-3.09937,1.019811415,-0.054029285,1.019695002,-0.054094211,0.772644324,28.21352711,1
