round,season,year,CircuitIndex,circuitName,url
3,2021,2021,54,Autódromo Internacional do Algarve,http://en.wikipedia.org/wiki/Algarve_International_Circuit
12,2020,2020,54,Autódromo Internacional do Algarve,http://en.wikipedia.org/wiki/Algarve_International_Circuit
17,2015,2015,59,Autódromo Hermanos Rodríguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
18,2017,2017,59,Autódromo Hermanos Rodríguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
18,2019,2019,59,Autódromo Hermanos Rodríguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
18,2021,2021,59,Autódromo Hermanos Rodríguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
19,2016,2016,59,Autódromo Hermanos Rodríguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
19,2018,2018,59,Autódromo Hermanos Rodríguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
20,2022,2022,59,Autódromo Hermanos Rodríguez,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
18,2014,2014,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
18,2015,2015,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19,2013,2013,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19,2017,2017,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19,2021,2021,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
20,2016,2016,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
20,2018,2018,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
20,2019,2019,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
21,2022,2022,28,Autódromo José Carlos Pace,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
2,2021,2021,26,Autodromo Enzo e Dino Ferrari,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
4,2022,2022,26,Autodromo Enzo e Dino Ferrari,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
13,2020,2020,26,Autodromo Enzo e Dino Ferrari,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
8,2020,2020,45,Autodromo Nazionale di Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
12,2013,2013,45,Autodromo Nazionale di Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
12,2015,2015,45,Autodromo Nazionale di Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
