circuitId,circuitRef,name,location,country,lat,lng,alt,url,ImageURL
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,58,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit#/media/File:Adelaide_(short_route).svg
64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,19,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,https://en.wikipedia.org/wiki/Ain-Diab_Circuit#/media/File:Ain-Diab.svg
58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,20,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,https://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit#/media/File:Circuit_Aintree.svg
75,portimao,AutÃ³dromo Internacional do Algarve,PortimÃ£o,Portugal,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit,https://en.wikipedia.org/wiki/Algarve_International_Circuit#/media/File:Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg
27,estoril,AutÃ³dromo do Estoril,Estoril,Portugal,38.7506,-9.39417,130,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril#/media/File:Estoril_track_map.svg
32,rodriguez,AutÃ³dromo Hermanos RodrÃ­guez,Mexico City,Mexico,19.4042,-99.0907,2227,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez#/media/File:Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg
36,jacarepagua,AutÃ³dromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,1126,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
18,interlagos,AutÃ³dromo JosÃ© Carlos Pace,SÃ£o Paulo,Brazil,-23.7036,-46.6997,785,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit#/media/File:Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_(AKA_Interlagos)_track_map.svg
25,galvez,AutÃ³dromo Juan y Oscar GÃ¡lvez,Buenos Aires,Argentina,-34.6943,-58.4593,8,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez#/media/File:Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit#/media/File:Imola_2009.svg
