X,Y,OBJECTID,ACCIDENT_INDEX,POLICE_FORCE,ACCIDENT_SEVERITY,NUMBER_OF_VEHICLES,NUMBER_OF_CASUALTIES,DATE_,DAY_OF_WEEK,TIME,LOCAL_AUTHORITY__DISTRICT_,LOCAL_AUTHORITY__HIGHWAY_,ROAD_TYPE,SPEED_LIMIT,JUNCTION_DETAIL,JUNCTION_CONTROL,PEDESTRIAN_CROSSING_HUMAN_CONT,PEDESTRIAN_CROSSING_PHYSICAL_F,LIGHT_CONDITIONS,WEATHER_CONDITIONS,ROAD_SURFACE_CONDITIONS,SPECIAL_CONDITIONS_AT_SITE,CARRIAGEWAY_HAZARDS,URBAN_OR_RURAL_AREA,DID_POLICE_OFFICER_ATTEND_SCEN,LOCATION_EASTING_OSGR,LOCATION_NORTHING_OSGR,LONGITUDE,LATITUDE,CASUALITY_TYPE,FIRST_ROAD_CLASS,FIRST_ROAD_NUMBER,SECOND_ROAD_CLASS,SECOND_ROAD_NUMBER
-4.257407827,55.85643502,1,201497AB00106,Police Scotland,Serious,1,1,2014/06/01 00:00:00+00,Sunday,1900/01/01 21:56:00+00,Glasgow,Glasgow,Dual carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,258799,664882,-4.257408,55.856435,,A,814,Unclassified,0
-4.25067283,55.85602802,2,201497AB00109,Police Scotland,Slight,1,1,2014/09/01 00:00:00+00,Monday,1900/01/01 17:10:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259219,664823,-4.250673,55.856028,,Unclassified,0,,0
-4.247787809,55.86722503,3,201497AB00110,Police Scotland,Slight,2,1,2014/10/03 00:00:00+00,Friday,1900/01/01 16:20:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,259440,666063,-4.247788,55.867225,,A,804,Unclassified,0
-4.243820826,55.85940602,4,201497AB00201,Police Scotland,Slight,2,1,2014/01/07 00:00:00+00,Tuesday,1900/01/01 09:00:00+00,Glasgow,Glasgow,Single carriageway,30,T or staggered junction,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,259660,665185,-4.243821,55.859406,,Unclassified,0,Unclassified,0
-4.264686815,55.86563903,5,201497AB00203,Police Scotland,Slight,1,1,2014/03/02 00:00:00+00,Sunday,1900/01/01 00:10:00+00,Glasgow,Glasgow,One way street,30,T or staggered junction,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,No,258377,665921,-4.264687,55.865639,,Unclassified,0,Unclassified,0
-4.235832815,55.86778403,6,201497AB00205,Police Scotland,Slight,1,1,2014/05/04 00:00:00+00,Sunday,1900/01/01 05:30:00+00,Glasgow,Glasgow,Dual carriageway,50,Slip road,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,260190,666101,-4.235833,55.867784,,Motorway,8,Unclassified,0
-4.261198826,55.85871102,7,201497AB00212,Police Scotland,Slight,2,2,2014/12/01 00:00:00+00,Monday,1900/01/01 18:20:00+00,Glasgow,Glasgow,Dual carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,258570,665143,-4.261199,55.858711,,Unclassified,0,Unclassified,0
-4.247755828,55.85974802,8,201497AB00307,Police Scotland,Serious,1,1,2014/07/05 00:00:00+00,Saturday,1900/01/01 11:30:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259415,665231,-4.247756,55.859748,,Unclassified,0,,0
-4.264098817,55.86323203,9,201497AB00402,Police Scotland,Slight,2,2,2014/02/06 00:00:00+00,Thursday,1900/01/01 14:40:00+00,Glasgow,Glasgow,One way street,30,Crossroads,Give way or uncontrolled,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258405,665652,-4.264099,55.863232,,Unclassified,0,Unclassified,0
-4.249357834,55.85787602,10,201497AB00406,Police Scotland,Slight,1,1,2014/06/05 00:00:00+00,Thursday,1900/01/01 08:50:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,259308,665026,-4.249358,55.857876,,Unclassified,0,,0
